% 1. Title: Dataset Sintético para la Predicción de Compra de Boletas (10000 instancias) con Descuento e Historial Categórico
% 2. Sources:
%    (a) Original Owners: Generado sintéticamente para fines de demostración
%    (b) Donor of Database: Gemini AI
%    (c) Date Received: 7 de mayo de 2025
% 3. Past Usage:
%    Este dataset sintético se genera para demostrar la estructura de datos para la predicción de compra de boletas, incluyendo uso de descuento previo e historial de compras categórico. Se puede utilizar para entrenar modelos de clasificación.
% 4. Relevant Information:
%    Este dataset contiene información sobre usuarios y sus interacciones con una plataforma de venta de boletas. El objetivo es predecir si un usuario específico realizará una compra de boleta (variable 'Compra_Boleta'). Los atributos incluyen información demográfica, comportamiento en la plataforma, preferencias y el uso de descuentos previos.
% 5. Number of Instances: 10000
% 6. Number of Attributes: 10 plus class
% 7. For Each Attribute:
%    1. ID_Usuario: Identificador único del usuario (numérico)
%    2. Edad: Edad del usuario en años (numérico)
%    3. Genero: Género del usuario (categórico: Masculino, Femenino, Otro)
%    4. Historial_Compras: Nivel de historial de compras (categórico: Bajo, Medio, Alto)
%    5. Frecuencia_Visitas_Sitio: Visitas al sitio en el último mes (numérico)
%    6. Tiempo_Navegacion_Promedio: Tiempo promedio de navegación en minutos (numérico)
%    7. Interes_Categoria: Categoría de eventos de interés (categórico)
%    8. Dispositivo_Acceso: Dispositivo principal de acceso (categórico)
%    9. Recibio_Notificacion: Indica si recibió notificación reciente (numérico: 0=No, 1=Sí)
%    10. Uso_Descuento_Previo: Indica si usó un descuento en compras previas (numérico: 0=No, 1=Sí)
%    11. Compra_Boleta: Variable de clase (numérico: 0=No compró, 1=Compró)
% 8. Missing Attribute Values: None
% 9. Class Distribution: (aproximado)
%    Clase Valor   Número de Instancias (aproximado)
%    0             ~6500
%    1             ~3500
% 10. Brief statistical analysis: (aproximado)
%     Attribute number:             Mean:    Standard Deviation:
%     2. Edad:                     ~38       ~14
%     5. Frecuencia_Visitas_Sitio: ~4.5      ~5
%     6. Tiempo_Navegacion_Promedio: ~12      ~8
%     10. Uso_Descuento_Previo:    ~0.3 (aproximado)
@relation compra_boleta_prediccion_con_descuento
@attribute 'ID_Usuario' numeric
@attribute 'Edad' numeric
@attribute 'Genero' {Masculino,Femenino,Otro}
@attribute 'Historial_Compras' {Bajo,Medio,Alto}
@attribute 'Frecuencia_Visitas_Sitio' numeric
@attribute 'Tiempo_Navegacion_Promedio' numeric
@attribute 'Interes_Categoria' {Conciertos,Deportes,Teatro,Cine,Otro}
@attribute 'Dispositivo_Acceso' {Desktop,Mobile,Tablet}
@attribute 'Recibio_Notificacion' {0,1}
@attribute 'Uso_Descuento_Previo' {0,1}
@attribute 'Compra_Boleta' {0,1}
@data
78,18,Otro,Bajo,4,4.9,Otro,Desktop,1,0,0
79,18,Otro,Medio,3,3.9,Deportes,Mobile,0,0,0
80,53,Otro,Bajo,2,6.8,Conciertos,Tablet,0,1,0
81,46,Otro,Medio,0,20.0,Teatro,Desktop,0,1,0
82,29,Masculino,Bajo,5,2.5,Deportes,Mobile,1,0,0
83,23,Otro,Bajo,2,3.2,Conciertos,Mobile,1,0,0
84,39,Otro,Medio,4,9.2,Otro,Mobile,0,0,0
85,38,Masculino,Medio,0,18.2,Deportes,Mobile,1,0,1
86,18,Otro,Bajo,4,3.2,Teatro,Desktop,0,0,0
87,62,Masculino,Medio,0,2.2,Otro,Mobile,0,1,0
88,38,Otro,Medio,1,7.9,Otro,Mobile,0,0,0
89,24,Masculino,Bajo,2,5.0,Teatro,Mobile,0,1,0
90,24,Masculino,Medio,1,1.0,Teatro,Tablet,1,1,0
91,59,Femenino,Medio,0,0.7,Deportes,Desktop,0,1,0
92,31,Femenino,Bajo,10,12.3,Conciertos,Mobile,1,1,0
93,43,Femenino,Medio,0,2.8,Conciertos,Desktop,1,0,0
94,21,Masculino,Medio,0,2.2,Cine,Mobile,0,1,0
95,64,Femenino,Medio,3,2.8,Deportes,Desktop,1,0,0
96,54,Femenino,Medio,2,1.0,Otro,Desktop,1,0,0
97,46,Otro,Medio,0,3.3,Cine,Mobile,1,1,0
98,33,Otro,Bajo,3,3.2,Teatro,Mobile,1,1,0
99,30,Femenino,Bajo,1,1.5,Conciertos,Mobile,1,1,1
100,22,Femenino,Bajo,1,8.0,Otro,Desktop,1,0,1
101,54,Femenino,Medio,3,13.8,Conciertos,Tablet,0,0,0
102,67,Masculino,Medio,1,0.4,Otro,Tablet,0,1,0
103,18,Femenino,Bajo,3,3.2,Cine,Mobile,0,0,0
104,32,Otro,Bajo,3,0.0,Conciertos,Mobile,0,1,0
105,18,Femenino,Bajo,2,0.1,Otro,Tablet,0,0,1
106,46,Otro,Medio,3,5.1,Otro,Mobile,0,1,0
107,50,Femenino,Medio,0,2.2,Cine,Tablet,0,0,0
108,48,Femenino,Medio,1,1.1,Cine,Desktop,0,0,0
109,33,Masculino,Medio,3,3.7,Cine,Tablet,0,0,0
110,47,Masculino,Medio,2,1.9,Deportes,Mobile,0,0,0
111,33,Masculino,Bajo,1,1.1,Otro,Mobile,0,1,0
112,47,Masculino,Medio,1,1.8,Teatro,Mobile,0,1,0
113,51,Otro,Medio,1,8.3,Cine,Mobile,1,1,1
114,22,Femenino,Bajo,7,1.5,Otro,Mobile,0,1,0
115,30,Femenino,Bajo,1,6.4,Teatro,Mobile,1,1,0
116,44,Masculino,Bajo,0,3.3,Teatro,Tablet,0,0,0
117,51,Masculino,Medio,1,3.6,Teatro,Desktop,0,1,0
118,48,Masculino,Bajo,6,1.0,Cine,Desktop,0,0,0
119,37,Femenino,Medio,0,5.6,Cine,Mobile,1,1,0
120,22,Otro,Medio,5,4.6,Teatro,Tablet,0,0,0
121,54,Otro,Medio,1,0.9,Deportes,Tablet,0,1,0
122,23,Femenino,Bajo,5,1.6,Deportes,Mobile,0,0,0
123,48,Otro,Medio,0,5.9,Cine,Tablet,1,1,0
124,41,Otro,Bajo,2,5.9,Deportes,Tablet,0,0,0
125,26,Femenino,Bajo,4,0.3,Cine,Desktop,1,1,0
126,27,Femenino,Bajo,3,0.5,Teatro,Mobile,0,1,1
127,22,Masculino,Bajo,6,7.5,Deportes,Mobile,1,1,1
128,58,Femenino,Medio,1,1.8,Conciertos,Desktop,1,0,0
129,39,Otro,Medio,2,3.3,Teatro,Desktop,1,1,0
130,34,Masculino,Medio,4,4.2,Conciertos,Mobile,0,1,0
131,39,Femenino,Bajo,3,3.8,Deportes,Mobile,0,1,0
132,42,Masculino,Bajo,2,1.6,Teatro,Mobile,1,0,0
133,25,Masculino,Bajo,4,5.5,Cine,Desktop,1,1,1
134,34,Femenino,Medio,0,1.8,Conciertos,Desktop,0,1,0
135,53,Femenino,Medio,0,0.8,Cine,Mobile,0,0,0
136,49,Femenino,Bajo,1,11.3,Cine,Tablet,0,1,0
137,30,Otro,Bajo,4,1.6,Cine,Tablet,0,1,0
138,44,Masculino,Medio,2,0.3,Teatro,Desktop,0,0,0
139,37,Masculino,Bajo,6,3.5,Teatro,Mobile,0,1,0
140,36,Femenino,Medio,3,0.4,Otro,Mobile,0,1,0
141,39,Otro,Bajo,2,3.5,Cine,Mobile,0,1,0
142,49,Otro,Medio,1,0.8,Otro,Tablet,0,0,0
143,33,Femenino,Medio,3,10.3,Conciertos,Mobile,0,0,0
144,24,Femenino,Medio,4,2.7,Conciertos,Mobile,0,1,0
145,27,Masculino,Bajo,6,2.0,Deportes,Desktop,1,0,1
146,22,Masculino,Bajo,4,2.7,Conciertos,Tablet,0,1,0
147,49,Femenino,Medio,1,1.0,Cine,Tablet,1,1,1
148,41,Femenino,Bajo,0,2.0,Deportes,Mobile,0,1,0
149,32,Femenino,Medio,2,0.8,Teatro,Mobile,0,0,0
150,30,Femenino,Bajo,2,0.9,Teatro,Mobile,0,0,0
151,43,Otro,Bajo,2,0.8,Otro,Desktop,0,0,0
152,38,Femenino,Medio,7,21.7,Deportes,Desktop,1,1,1
153,40,Otro,Medio,5,3.1,Deportes,Mobile,1,1,0
154,41,Otro,Bajo,0,0.4,Cine,Tablet,0,1,0
155,36,Femenino,Bajo,2,1.4,Teatro,Mobile,1,0,0
156,45,Masculino,Bajo,3,3.3,Otro,Mobile,0,1,0
157,20,Otro,Bajo,5,1.7,Otro,Tablet,1,1,0
158,42,Otro,Medio,3,0.6,Teatro,Mobile,0,1,0
159,18,Otro,Bajo,4,3.0,Deportes,Mobile,0,1,0
160,18,Masculino,Bajo,6,1.4,Otro,Mobile,1,1,1
161,18,Femenino,Bajo,2,1.5,Deportes,Mobile,0,1,0
162,62,Femenino,Medio,1,1.4,Cine,Desktop,0,1,1
163,53,Femenino,Medio,0,9.0,Cine,Mobile,0,1,1
164,50,Masculino,Bajo,1,6.6,Otro,Desktop,0,1,1
165,18,Otro,Bajo,1,1.0,Deportes,Tablet,1,0,1
166,44,Femenino,Bajo,2,17.9,Conciertos,Mobile,0,0,0
167,51,Masculino,Medio,1,5.1,Teatro,Mobile,1,1,0
168,35,Otro,Medio,2,12.4,Teatro,Mobile,1,1,1
169,31,Femenino,Medio,4,4.5,Teatro,Mobile,0,0,0
170,49,Masculino,Medio,4,10.9,Deportes,Mobile,0,1,0
171,57,Femenino,Medio,2,1.2,Cine,Desktop,0,0,0
172,26,Otro,Bajo,1,9.1,Conciertos,Mobile,0,1,0
173,41,Masculino,Medio,0,12.9,Otro,Desktop,0,0,0
174,30,Masculino,Bajo,2,4.7,Teatro,Desktop,0,0,0
175,42,Masculino,Medio,1,2.2,Teatro,Mobile,0,0,0
176,63,Masculino,Medio,4,6.3,Otro,Desktop,0,1,0
177,45,Femenino,Medio,1,0.6,Cine,Desktop,0,1,0
178,44,Otro,Medio,2,15.0,Deportes,Mobile,0,0,0
179,22,Otro,Medio,3,4.8,Teatro,Tablet,1,1,1
180,51,Masculino,Medio,2,0.0,Deportes,Tablet,0,1,0
181,18,Femenino,Bajo,3,7.9,Cine,Mobile,0,0,1
182,35,Masculino,Medio,6,7.0,Cine,Tablet,0,0,0
183,26,Masculino,Medio,5,8.6,Teatro,Mobile,1,0,0
184,18,Otro,Bajo,5,4.8,Cine,Mobile,0,1,0
185,46,Femenino,Bajo,2,9.4,Conciertos,Tablet,0,0,0
186,59,Masculino,Medio,1,7.4,Teatro,Desktop,0,0,0
187,32,Otro,Bajo,7,3.6,Cine,Mobile,1,1,1
188,33,Masculino,Medio,0,1.2,Otro,Mobile,0,0,0
189,18,Otro,Bajo,5,10.0,Cine,Mobile,1,0,0
190,54,Femenino,Medio,7,1.0,Cine,Mobile,1,0,0
191,59,Otro,Medio,1,6.9,Deportes,Mobile,0,0,1
192,18,Otro,Bajo,6,0.2,Deportes,Desktop,0,1,0
193,19,Femenino,Bajo,8,10.9,Otro,Mobile,0,0,0
194,55,Masculino,Medio,1,35.5,Deportes,Desktop,1,0,0
195,33,Otro,Medio,3,4.8,Teatro,Mobile,0,1,0
196,36,Femenino,Bajo,1,1.5,Otro,Mobile,0,1,0
197,32,Femenino,Medio,6,3.0,Conciertos,Mobile,1,0,0
198,33,Masculino,Bajo,3,0.9,Teatro,Mobile,0,1,0
199,53,Femenino,Alto,0,6.9,Deportes,Tablet,0,1,0
200,52,Otro,Medio,0,5.1,Cine,Desktop,0,1,0
201,18,Otro,Bajo,6,21.8,Teatro,Mobile,0,0,1
202,42,Femenino,Medio,0,12.9,Cine,Desktop,1,0,1
203,41,Otro,Bajo,4,7.8,Otro,Desktop,1,1,0
204,39,Femenino,Medio,2,7.6,Otro,Mobile,0,0,0
205,18,Otro,Bajo,6,8.3,Otro,Mobile,0,1,0
206,29,Otro,Bajo,4,0.7,Otro,Mobile,1,1,0
207,37,Otro,Medio,3,3.0,Deportes,Desktop,1,1,0
208,32,Otro,Bajo,3,6.5,Teatro,Mobile,0,0,0
209,45,Masculino,Bajo,2,8.3,Conciertos,Mobile,0,1,1
210,51,Femenino,Medio,2,0.2,Deportes,Desktop,1,1,0
211,19,Otro,Bajo,4,5.8,Otro,Tablet,0,1,0
212,64,Masculino,Medio,0,4.1,Conciertos,Mobile,1,1,0
213,36,Masculino,Medio,2,12.4,Cine,Mobile,0,1,0
214,18,Masculino,Bajo,5,1.7,Deportes,Mobile,0,0,0
215,21,Femenino,Bajo,9,2.3,Teatro,Mobile,0,1,0
216,38,Femenino,Medio,2,4.0,Deportes,Mobile,0,1,1
217,43,Femenino,Bajo,1,2.6,Conciertos,Tablet,0,1,0
218,39,Otro,Bajo,5,5.4,Conciertos,Tablet,0,1,0
219,66,Masculino,Medio,1,11.1,Conciertos,Tablet,1,0,0
220,67,Otro,Medio,0,0.6,Conciertos,Desktop,0,0,0
221,50,Otro,Medio,2,9.6,Conciertos,Mobile,0,1,0
222,40,Femenino,Bajo,4,5.1,Deportes,Mobile,0,1,1
223,22,Femenino,Bajo,5,2.2,Deportes,Mobile,0,1,0
224,50,Otro,Medio,3,4.4,Cine,Mobile,1,1,1
225,43,Otro,Bajo,1,1.9,Teatro,Desktop,0,0,0
226,45,Otro,Bajo,1,1.2,Cine,Mobile,0,0,0
227,18,Femenino,Bajo,5,11.5,Cine,Mobile,1,1,1
228,32,Femenino,Bajo,4,3.5,Deportes,Mobile,0,1,0
229,39,Otro,Medio,2,1.6,Conciertos,Mobile,1,1,0
230,18,Otro,Medio,5,16.3,Cine,Mobile,0,1,1
231,18,Femenino,Bajo,5,5.9,Cine,Mobile,0,0,0
232,40,Masculino,Medio,1,7.3,Otro,Mobile,1,1,1
233,33,Masculino,Bajo,2,2.3,Deportes,Mobile,0,1,0
234,51,Femenino,Medio,1,2.1,Deportes,Tablet,1,1,0
235,41,Femenino,Medio,1,0.6,Teatro,Tablet,1,1,0
236,41,Femenino,Bajo,3,1.5,Otro,Desktop,1,1,1
237,32,Otro,Bajo,3,8.9,Otro,Mobile,1,1,0
238,42,Femenino,Bajo,2,6.6,Teatro,Desktop,1,1,0
239,47,Otro,Medio,2,1.8,Otro,Desktop,1,1,0
240,54,Otro,Alto,1,9.3,Deportes,Desktop,1,0,1
241,25,Femenino,Bajo,2,1.1,Deportes,Mobile,1,0,0
242,39,Femenino,Medio,3,14.0,Conciertos,Mobile,0,1,1
243,18,Otro,Bajo,5,8.2,Conciertos,Mobile,0,0,0
244,26,Femenino,Medio,3,7.7,Cine,Mobile,0,1,0
245,52,Masculino,Medio,1,1.0,Conciertos,Desktop,0,0,0
246,36,Femenino,Bajo,2,4.0,Cine,Mobile,0,0,0
247,44,Femenino,Medio,3,2.6,Deportes,Mobile,0,1,0
248,42,Masculino,Medio,5,1.1,Otro,Tablet,0,1,0
249,39,Masculino,Medio,2,10.9,Otro,Tablet,0,1,0
250,48,Masculino,Bajo,1,2.4,Conciertos,Tablet,1,1,0
251,36,Masculino,Bajo,2,2.9,Cine,Tablet,0,0,0
252,27,Otro,Bajo,6,11.8,Cine,Mobile,0,1,0
253,18,Otro,Bajo,2,6.2,Conciertos,Mobile,0,0,0
254,49,Masculino,Medio,2,0.9,Teatro,Mobile,0,1,0
255,33,Masculino,Bajo,4,18.0,Deportes,Mobile,1,0,0
256,46,Otro,Medio,2,3.8,Conciertos,Desktop,1,0,0
257,63,Masculino,Medio,1,19.3,Cine,Desktop,0,1,1
258,44,Otro,Bajo,0,11.3,Deportes,Desktop,0,0,0
259,50,Masculino,Medio,1,1.3,Otro,Desktop,0,1,0
260,18,Femenino,Medio,0,3.3,Otro,Mobile,0,0,0
261,43,Masculino,Bajo,2,5.3,Deportes,Desktop,0,1,1
262,47,Femenino,Medio,0,2.7,Conciertos,Tablet,0,0,0
263,42,Masculino,Bajo,1,0.8,Deportes,Desktop,0,1,0
264,37,Masculino,Bajo,5,2.8,Deportes,Mobile,1,0,1
265,46,Femenino,Medio,1,0.6,Deportes,Tablet,0,0,1
266,48,Femenino,Medio,1,1.7,Deportes,Mobile,0,0,0
267,18,Femenino,Bajo,9,0.9,Conciertos,Mobile,1,1,0
268,41,Femenino,Medio,1,0.6,Teatro,Tablet,0,0,0
269,18,Masculino,Bajo,4,7.4,Deportes,Mobile,0,0,0
270,75,Otro,Medio,5,3.4,Deportes,Desktop,1,1,1
271,52,Femenino,Medio,4,3.4,Teatro,Mobile,0,1,1
272,37,Masculino,Bajo,6,3.8,Otro,Tablet,0,1,0
273,34,Otro,Bajo,5,1.5,Teatro,Tablet,0,1,0
274,39,Femenino,Medio,0,0.0,Otro,Tablet,0,0,1
275,35,Otro,Medio,3,13.5,Conciertos,Mobile,0,0,0
276,18,Masculino,Bajo,5,0.9,Teatro,Desktop,0,0,0
277,45,Otro,Medio,3,4.9,Cine,Desktop,0,1,0
278,22,Masculino,Medio,2,6.3,Teatro,Mobile,0,0,0
279,48,Masculino,Medio,0,2.5,Teatro,Tablet,0,0,0
280,32,Otro,Bajo,1,0.4,Otro,Mobile,0,0,0
281,40,Otro,Medio,5,1.8,Deportes,Mobile,1,0,0
282,39,Otro,Bajo,2,12.4,Deportes,Desktop,1,0,0
283,58,Otro,Medio,4,7.8,Conciertos,Desktop,0,1,1
284,52,Femenino,Medio,1,5.0,Otro,Desktop,0,1,0
285,38,Otro,Bajo,2,13.3,Cine,Desktop,0,0,0
286,18,Otro,Bajo,2,7.6,Conciertos,Mobile,1,1,0
287,70,Masculino,Medio,3,3.4,Teatro,Desktop,0,1,0
288,43,Masculino,Medio,5,17.0,Deportes,Tablet,0,1,0
289,38,Otro,Medio,3,0.4,Deportes,Tablet,0,0,0
290,43,Masculino,Medio,0,3.8,Otro,Tablet,0,0,0
291,46,Otro,Bajo,2,0.3,Otro,Desktop,0,0,0
292,51,Masculino,Bajo,3,6.5,Cine,Mobile,1,1,1
293,18,Femenino,Bajo,0,2.0,Otro,Mobile,0,1,1
294,33,Otro,Bajo,6,15.4,Deportes,Mobile,0,1,0
295,34,Femenino,Bajo,3,16.5,Teatro,Tablet,1,0,0
296,19,Femenino,Bajo,3,0.7,Conciertos,Mobile,0,1,0
297,62,Femenino,Medio,2,2.4,Otro,Mobile,1,1,0
298,39,Masculino,Bajo,3,1.4,Otro,Mobile,1,0,0
299,18,Otro,Bajo,3,5.0,Cine,Mobile,0,0,0
300,55,Masculino,Medio,1,0.6,Cine,Mobile,1,1,0
301,32,Masculino,Bajo,2,4.0,Cine,Mobile,0,1,0
302,51,Masculino,Medio,1,1.0,Deportes,Mobile,0,1,0
303,26,Femenino,Medio,0,5.7,Deportes,Desktop,1,1,0
304,49,Femenino,Medio,3,6.5,Cine,Desktop,0,1,0
305,37,Masculino,Medio,3,5.9,Teatro,Mobile,0,0,0
306,67,Masculino,Medio,1,0.9,Deportes,Desktop,0,0,0
307,18,Masculino,Bajo,4,7.0,Cine,Desktop,0,0,0
308,40,Otro,Bajo,1,4.8,Deportes,Desktop,0,1,0
309,43,Otro,Bajo,1,6.8,Teatro,Desktop,0,1,0
310,53,Otro,Medio,1,0.4,Cine,Tablet,0,0,0
311,40,Femenino,Bajo,4,13.3,Conciertos,Tablet,1,0,1
312,36,Femenino,Medio,2,1.7,Cine,Mobile,0,1,0
313,30,Masculino,Bajo,0,0.1,Cine,Mobile,0,0,0
314,38,Masculino,Medio,5,1.0,Teatro,Mobile,0,0,1
315,62,Otro,Medio,2,6.6,Cine,Desktop,0,0,1
316,39,Otro,Medio,3,15.0,Teatro,Mobile,1,1,0
317,33,Otro,Bajo,2,3.0,Deportes,Mobile,0,1,0
318,28,Otro,Bajo,3,3.0,Cine,Mobile,0,0,0
319,32,Femenino,Medio,5,0.8,Deportes,Mobile,1,0,1
320,42,Otro,Bajo,1,14.1,Conciertos,Tablet,0,0,0
321,53,Femenino,Medio,0,0.9,Otro,Mobile,1,1,1
322,40,Otro,Medio,2,3.6,Deportes,Mobile,1,1,1
323,67,Femenino,Medio,2,0.9,Conciertos,Tablet,0,0,0
